品項,品項分類,EDC推薦度,GHB推薦度,BOB推薦度,SIP推薦度,範例,備註
小罐礦泉水250~550cc,飲水,推薦,可選,可選,不建議,UNI Water ,可隨身攜帶不太有重量負擔
中尺寸礦泉水800~1600cc,飲水,可選,推薦,推薦,可選,悅氏1500ml,稍感沉重但份量足夠
大尺寸礦泉水2000cc以上,飲水,別放,別放,別放,推薦,波爾6000ml,斷水時的乾淨水源保障
鋁箔包飲料,飲水,別放,別放,可選,可選,保久乳、蜜豆奶、紅茶、奶茶等等,補充水的其他方案，比較好喝的那種
其他鐵鋁罐或寶特瓶罐裝飲料,飲水,不建議,可選,可選,可選,,
口糧餅乾、乳酥餅,食品,推薦,推薦,推薦,可選,本味呈現、福義軒、欣欣口糧,輕便易攜帶。EDC=少量隨意、GHB=兩餐份、BOB=兩天份、SIP=大量隨意
口糧餅乾家庭號、消化餅乾,食品,別放,別放,不建議,推薦,欣欣、麥維他,方便大量存放的方案
壓縮口糧、防災麵包,食品,推薦,推薦,推薦,推薦,Calorie Mate?,輕便易攜帶且耐放，但貴
巧克力棒、能量棒,食品,可選,推薦,可選,可選,77乳加、士力架,能量密度高又好吃，但清即期會很痛苦
鐵罐頭,食品,別放,不建議,可選,推薦,八寶粥、鮪魚、玉米罐頭等等,重，但好吃耐放
洋芋片、零嘴餅乾,食品,可選,可選,可選,推薦,波的多、多力多滋,能量密度低很佔空間但好吃
營養麵條,食品,別放,別放,不建議,推薦,,易調理的主食，但戶外不方便烹煮
泡麵,食品,別放,別放,可選,可選,,易調理的主食，但戶外不方便烹煮，且不耐放
沖泡包可可、雜糧飲,食品,不建議,不建議,可選,可選,,好吃且容易調製，但要準備熱水
調味料(胡椒、鹽等等),食品,可選,可選,推薦,推薦,,食物難以下嚥時可以讓它變好吃的魔法
空水杯250~700cc,容器,可選,推薦,推薦,推薦,PP附蓋塑膠杯,分裝食水可用，也能處理淨水
保鮮盒,容器,可選,推薦,推薦,推薦,樂扣盒,分裝食水及食品保鮮
鐵製便當盒,容器,不建議,推薦,推薦,推薦,,附柄也可當迷你小鍋
購物袋,容器,推薦,推薦,推薦,推薦,托特包購物袋,額外擴展容量、緊急收拾
塑膠袋,容器,推薦,推薦,推薦,推薦,紅白塑膠袋,額外容量、隔離污物、防水加工
夾鏈袋/保鮮袋,容器,可選,推薦,推薦,推薦,,防水、保鮮、隔離污物
口罩,衛生,推薦,推薦,推薦,推薦,,簡單防疫及飛沙走石攻擊口鼻
防毒面具,衛生,不建議,可選,可選,推薦,,超級防疫及防止危險氣體
方便包面紙,衛生,推薦,推薦,推薦,可選,候選人面紙,清潔
紙手帕,衛生,推薦,推薦,推薦,推薦,舒潔袖珍包面紙,清潔、包紮
布手帕,衛生,推薦,推薦,推薦,推薦,,清潔、包紮、清洗後可重複使用
抽取式衛生紙,衛生,不建議,不建議,可選,推薦,,清潔，但易破、體積大不好攜帶
毛巾,衛生,可選,可選,推薦,推薦,,清潔、包紮、清洗後可重複使用，也可作為頭巾或口罩
濕紙巾,衛生,可選,推薦,推薦,推薦,,清潔、包紮、單個裝的容易自己乾掉，最小買20片小包裝的
衛生棉、棉條,衛生,推薦,推薦,推薦,推薦,,散裝放包包，套裝放家裡
牙膏牙刷,衛生,可選,推薦,推薦,推薦,,口腔衛生問題可能致命
漱口水,衛生,可選,可選,推薦,推薦,,便利的口腔衛生替代方案
防蚊液,衛生,必須,必須,必須,必須,,台灣蚊蟲很致命，小罐裝方便攜帶
三角巾,急救醫療,推薦,推薦,推薦,推薦,,萬能經濟的包紮方案，與毛巾可互換
彈性繃帶,急救醫療,可選,可選,推薦,推薦,,材料科學的便利醫療產品
